iter	Passed	Remaining
403	5145	7591
404	5155	7574
405	5165	7557
406	5175	7541
407	5186	7524
408	5196	7509
409	5206	7492
410	5216	7476
411	5226	7459
412	5237	7443
413	5250	7431
414	5260	7414
415	5269	7397
416	5279	7381
417	5289	7364
418	5298	7347
419	5308	7330
420	5318	7313
421	5327	7297
422	5337	7281
423	5347	7264
424	5357	7249
425	5368	7234
426	5378	7217
427	5391	7206
428	5402	7190
429	5412	7174
430	5421	7157
431	5432	7142
432	5441	7125
433	5451	7109
434	5461	7093
435	5471	7077
436	5481	7062
437	5492	7046
438	5503	7032
439	5516	7020
440	5526	7005
441	5535	6988
442	5545	6972
443	5555	6957
444	5565	6941
445	5575	6925
446	5585	6909
447	5595	6894
448	5605	6878
449	5614	6862
450	5624	6846
451	5634	6831
452	5645	6816
453	5660	6807
454	5669	6791
455	5679	6775
456	5689	6759
457	5699	6744
458	5710	6730
459	5720	6714
460	5730	6699
461	5740	6684
462	5749	6668
463	5763	6657
464	5774	6643
465	5783	6627
466	5793	6612
467	5803	6597
468	5814	6583
469	5824	6567
470	5834	6552
471	5844	6538
472	5855	6524
473	5866	6510
474	5876	6495
475	5887	6480
476	5896	6465
477	5906	6450
478	5917	6436
479	5927	6421
480	5939	6408
481	5949	6393
482	5959	6379
483	5972	6367
484	5982	6352
485	5992	6337
486	6002	6322
487	6012	6307
488	6023	6294
489	6032	6279
490	6042	6264
491	6055	6252
492	6066	6238
493	6077	6224
494	6087	6210
495	6097	6196
496	6109	6183
497	6120	6169
498	6131	6156
499	6144	6144
500	6155	6130
501	6164	6115
502	6174	6100
503	6183	6085
504	6194	6071
505	6203	6056
506	6213	6042
507	6223	6027
508	6233	6013
509	6244	5999
510	6254	5985
511	6265	5971
512	6276	5958
513	6288	5945
514	6298	5931
515	6308	5917
516	6318	5903
517	6330	5890
518	6339	5875
519	6349	5860
520	6358	5846
521	6368	5831
522	6378	5817
523	6388	5803
524	6398	5789
525	6408	5775
526	6418	5760
527	6429	5747
528	6438	5732
529	6449	5719
530	6460	5706
531	6470	5692
532	6479	5677
533	6489	5662
534	6499	5649
535	6509	5635
536	6519	5621
537	6530	5607
538	6540	5594
539	6550	5580
540	6561	5566
541	6571	5552
542	6581	5539
543	6592	5526
544	6602	5512
545	6612	5498
546	6623	5485
547	6633	5471
548	6643	5457
549	6653	5443
550	6664	5430
551	6673	5416
552	6684	5402
553	6695	5389
554	6708	5378
555	6720	5366
556	6730	5352
557	6740	5339
558	6751	5326
559	6767	5317
560	6777	5303
561	6789	5291
562	6800	5278
563	6811	5265
564	6821	5252
565	6831	5238
566	6842	5225
567	6851	5210
568	6861	5197
569	6871	5183
570	6880	5169
571	6890	5155
572	6900	5142
573	6910	5128
574	6920	5115
575	6930	5101
576	6941	5088
577	6951	5075
578	6962	5062
579	6972	5048
580	6986	5038
581	6997	5025
582	7007	5012
583	7018	4999
584	7027	4985
585	7039	4973
586	7051	4961
587	7062	4948
588	7073	4935
589	7083	4922
590	7092	4908
591	7102	4895
592	7111	4880
593	7122	4868
594	7132	4854
595	7142	4841
596	7153	4828
597	7165	4817
598	7177	4805
599	7189	4793
600	7201	4780
601	7210	4767
602	7220	4754
603	7232	4741
604	7242	4728
605	7253	4715
606	7264	4703
607	7284	4696
608	7294	4683
609	7313	4675
610	7332	4668
611	7352	4661
612	7363	4648
613	7374	4636
614	7385	4623
615	7396	4610
616	7406	4597
617	7417	4584
618	7428	4572
619	7441	4560
620	7453	4548
621	7464	4536
622	7473	4522
623	7483	4509
624	7495	4497
625	7505	4483
626	7516	4471
627	7528	4459
628	7537	4445
629	7547	4432
630	7557	4419
631	7567	4406
632	7577	4393
633	7587	4380
634	7597	4367
635	7607	4353
636	7618	4341
637	7628	4328
638	7638	4315
639	7648	4302
640	7658	4289
641	7667	4275
642	7677	4262
643	7687	4249
644	7696	4236
645	7706	4222
646	7716	4209
647	7726	4196
648	7737	4184
649	7749	4172
650	7760	4160
651	7769	4147
652	7780	4134
653	7790	4121
654	7801	4108
655	7811	4096
656	7828	4086
657	7838	4073
658	7851	4062
659	7865	4051
660	7878	4040
661	7889	4028
662	7898	4014
663	7910	4002
664	7920	3990
665	7930	3977
666	7941	3964
667	7950	3951
668	7978	3947
669	7991	3935
670	8005	3925
671	8015	3912
672	8027	3900
673	8043	3890
674	8061	3881
675	8074	3870
676	8087	3858
677	8097	3845
678	8113	3835
679	8126	3824
680	8138	3812
681	8150	3800
682	8160	3787
683	8172	3775
684	8183	3763
685	8195	3751
686	8208	3740
687	8223	3729
688	8236	3717
689	8246	3704
690	8256	3692
691	8268	3680
692	8279	3667
693	8291	3655
694	8303	3643
695	8313	3631
696	8325	3619
697	8337	3607
698	8348	3594
699	8359	3582
700	8369	3570
701	8379	3556
702	8389	3544
703	8400	3531
704	8410	3519
705	8422	3507
706	8433	3495
707	8445	3483
708	8460	3472
709	8471	3460
710	8482	3447
711	8492	3435
712	8503	3422
713	8515	3410
714	8525	3398
715	8536	3385
716	8546	3373
717	8557	3361
718	8569	3349
719	8580	3336
720	8591	3324
721	8604	3313
722	8616	3301
723	8630	3289
724	8640	3277
725	8651	3265
726	8663	3253
727	8674	3241
728	8685	3228
729	8696	3216
730	8707	3204
731	8718	3192
732	8729	3179
733	8739	3167
734	8750	3154
735	8760	3142
736	8770	3129
737	8779	3116
738	8789	3104
739	8800	3091
740	8810	3079
741	8821	3067
742	8833	3055
743	8843	3043
744	8853	3030
745	8863	3017
