iter	Logloss
0	0.6560537135
1	0.6234210932
2	0.5922985085
3	0.5673516936
4	0.5455328051
5	0.5211172807
6	0.4984585563
7	0.4790731097
8	0.4617630849
9	0.4461211532
10	0.4318160561
11	0.4175604374
12	0.4036478474
13	0.3898438097
14	0.3764909498
15	0.3653421894
16	0.3572463428
17	0.3489847875
18	0.3387734691
19	0.3319001732
20	0.3237490439
21	0.315550429
22	0.3090195401
23	0.3046512777
24	0.3004664784
25	0.296136295
26	0.2895032364
27	0.2859019725
28	0.2826229685
29	0.2774082744
30	0.273119733
31	0.2690489562
32	0.2665487942
33	0.2638554466
34	0.2602474477
35	0.2564950185
36	0.2537382329
37	0.2516911517
38	0.2491136858
39	0.2463619316
40	0.2439699796
41	0.2415537457
42	0.2394386703
43	0.2375465388
44	0.2356188663
45	0.2339362635
46	0.2330946103
47	0.2312777319
48	0.2304264705
49	0.2291046323
50	0.227998135
51	0.2270186807
52	0.2259129719
53	0.2251038469
54	0.2239227222
55	0.2234932484
56	0.222103384
57	0.2215967196
58	0.2207149767
59	0.2197084565
60	0.2187045418
61	0.2176474645
62	0.2169617924
63	0.2161617415
64	0.215328216
65	0.2146560836
66	0.2140513321
67	0.2135763996
68	0.2131705298
69	0.2123227675
70	0.2119869099
71	0.2115117909
72	0.2107666899
73	0.2103032629
74	0.2097787793
75	0.2093663433
76	0.2089880075
77	0.2084447154
78	0.2080804838
79	0.2075482612
80	0.207269944
81	0.206370089
82	0.2059136809
83	0.2057153048
84	0.2053520163
85	0.2050264582
86	0.2045252308
87	0.2042098211
88	0.2038940705
89	0.2036088056
90	0.2031641306
91	0.2027160505
92	0.2024378214
93	0.2022109555
94	0.2017800891
95	0.2015738821
96	0.2012963361
97	0.2011096213
98	0.2007031195
99	0.2004122841
100	0.2001099881
101	0.1999221896
102	0.1995187794
103	0.1992852583
104	0.1990745753
105	0.198798643
106	0.1985499607
107	0.1982995811
108	0.1980293387
109	0.1978775601
110	0.1975196604
111	0.197209773
112	0.1968581017
113	0.1966715274
114	0.196482203
115	0.1962750566
116	0.1959498112
117	0.1956630893
118	0.1954671993
119	0.1951964756
120	0.1950702555
121	0.19488949
122	0.1946599423
123	0.1944631679
124	0.1943232767
125	0.1940141089
126	0.1938217751
127	0.1936078085
128	0.1933902837
129	0.1932138945
130	0.1929864953
131	0.1927454265
132	0.1925058208
133	0.1923268532
134	0.1919129544
135	0.1917133226
136	0.1915388115
137	0.1914101413
138	0.1912214121
139	0.1909280131
140	0.1907854376
141	0.1906358956
142	0.1905100003
143	0.1904189982
144	0.1901680976
145	0.1899649338
146	0.1898465303
147	0.1896632808
148	0.1895635285
149	0.1892993367
150	0.1892024628
151	0.1890225383
152	0.1888831532
153	0.1886249534
154	0.1885764363
155	0.1884583089
156	0.1883361328
157	0.1881150948
158	0.1880466743
159	0.1878928155
160	0.1877148394
161	0.1876109322
162	0.1874641954
163	0.1873016827
164	0.1869960031
165	0.1868246236
166	0.1866232188
167	0.1864321996
168	0.1862749744
169	0.1861696584
170	0.1859653515
171	0.1858637109
172	0.1856289958
173	0.1854967681
174	0.1853882599
175	0.1852817954
176	0.1851473776
177	0.1850573815
178	0.1848696665
179	0.1847247693
180	0.1845202369
181	0.1843581824
182	0.1841209144
183	0.1840609805
184	0.1839143595
185	0.1838193054
186	0.183601742
187	0.1834586167
188	0.1832732833
189	0.1830580065
190	0.1829809874
191	0.1828294982
